digit1,acc1X,acc1Y,acc1Z,gyro1X,gyro1Y,gyro1Z,rot1X,rot1Y,rot1Z,mag1X,mag1Y,mag1Z,digit2,acc2X,acc2Y,acc2Z,gyro2X,gyro2Y,gyro2Z,rot2X,rot2Y,rot2Z,mag2X,mag2Y,mag2Z,digit3,acc3X,acc3Y,acc3Z,gyro3X,gyro3Y,gyro3Z,rot3X,rot3Y,rot3Z,mag3X,mag3Y,mag3Z,digit4,acc4X,acc4Y,acc4Z,gyro4X,gyro4Y,gyro4Z,rot4X,rot4Y,rot4Z,mag4X,mag4Y,mag4Z,fullSequence
6,2.143969,5.8019967,7.4715886,0.37766716,-0.45952302,0.1262963,0.34356463,0.041089866,0.43457332,10.33125,18.35625,14.83125,1,2.4251258,5.9790654,7.108478,0.010995566,0.05986475,0.0097738365,0.33932704,0.04271641,0.4402056,9.900001,18.018751,15.093751,4,2.3688943,5.9760747,7.1359954,-0.091477,0.14401138,-0.013439025,0.33932704,0.04271641,0.4402056,9.356251,17.6625,15.187501,,,,,,,,,,,,,,614
2,2.6362925,6.265606,7.0809603,0.1443168,-0.22510368,0.1763872,0.30599844,0.1221945,0.51463485,22.40625,20.6625,12.843751,0,2.2091734,6.0801625,7.192825,-0.011911863,0.08277218,-0.017715078,0.31629848,0.1166034,0.5216554,17.962502,18.900002,13.462501,7,1.8646071,5.968298,7.2412796,-0.049480047,0.10063997,0.008857539,0.31301853,0.12114869,0.5233979,15.825001,18.1875,13.575001,,,,,,,,,,,,,,207
8,2.260021,5.8432727,7.4237323,0.018936807,0.0067195124,0.018325943,0.31074107,0.10042647,0.54756206,10.3125,18.0,12.0,5,2.14696,5.7894344,7.3543406,0.08429934,-0.0140498895,0.077579826,0.32189518,0.100715935,0.5537142,8.962501,16.95,11.6625,1,2.6021945,5.9300127,7.3621173,0.040317077,-0.008093959,0.0019853106,0.3230395,0.09517793,0.55920094,8.212501,16.368752,11.45625,,,,,,,,,,,,,,851
9,2.6853452,5.931209,7.166504,0.02687805,-0.06520981,0.064904384,0.33048943,0.08570079,0.5506651,8.400001,16.78125,10.33125,3,2.853441,5.99761,7.015756,0.22968516,-0.27992877,0.050396346,0.33752728,0.08060776,0.5534802,6.20625,15.375001,10.96875,4,3.2093735,6.1591253,6.6681986,-0.10430516,0.3930915,-0.05864302,0.38284615,0.055332027,0.5458977,4.55625,14.493751,11.475,,,,,,,,,,,,,,934
1,2.3928227,5.903692,7.3525457,0.2944368,-0.46242464,0.04780017,0.2936327,0.1072591,0.561941,10.275001,17.94375,9.65625,2,2.9132617,6.0981083,7.9393854,0.10461059,-0.17104214,0.023976443,0.3212419,0.091156855,0.5416917,10.25625,17.75625,9.918751,0,2.268396,6.0376897,6.058627,-0.08720095,0.15347977,-0.032223117,0.3212419,0.091156855,0.5416917,9.356251,17.1,10.21875,,,,,,,,,,,,,,120
5,2.1379871,5.8097734,8.513663,0.10873393,-0.16340633,0.074067354,0.30503407,0.10702573,0.5533803,10.762501,17.60625,9.76875,7,1.6426728,5.770292,6.4462643,0.04046979,0.00320704,-0.0065667965,0.31790712,0.10440022,0.55871266,10.481251,17.25,9.4875,6,2.9449666,6.337391,6.9212394,0.23350306,-0.35307986,0.10063997,0.31790712,0.10440022,0.55871266,9.993751,16.81875,9.50625,,,,,,,,,,,,,,576
4,2.0063818,5.9264235,8.141579,0.0029016077,-0.025198173,0.005345067,0.3224644,0.109350204,0.55904853,9.8625,16.35,9.525001,8,2.3545375,6.0508504,8.876176,0.04978548,-0.015424335,0.015729768,0.32694796,0.107060246,0.5597051,9.75,16.10625,9.543751,2,2.652444,6.1507506,7.1336026,0.07925971,-0.06918044,0.04963276,0.34343007,0.10691383,0.5612625,8.775001,15.431251,9.5625,,,,,,,,,,,,,,482
3,3.3481572,6.4905314,6.730412,0.18157956,-0.30619597,0.1188132,0.33373874,0.09795795,0.55640256,8.512501,16.143751,10.21875,0,1.9621146,6.0119667,4.9734817,-0.19303326,0.30100363,-0.059253883,0.34966525,0.090075515,0.55062944,7.5750003,15.543751,10.387501,9,2.757728,6.055636,6.849455,0.05222894,-0.10598504,0.028099779,0.32118133,0.11010937,0.56177694,6.39375,14.7375,10.275001,,,,,,,,,,,,,,309
0,1.2167503,5.4813585,7.8400836,0.047647454,-0.052076224,0.019089524,0.2980199,0.11869236,0.565837,10.8,17.456251,8.868751,6,3.2847474,6.3110695,8.517252,0.19868377,-0.38957903,0.12186752,0.31191877,0.110408634,0.5606508,11.325001,17.775002,8.962501,8,2.4005992,6.0167527,7.4356966,-0.012064579,0.07422007,-0.028099779,0.33212158,0.09389942,0.5508611,10.51875,17.268751,9.1875,,,,,,,,,,,,,,068
7,1.3770695,5.669793,7.238887,0.036346454,-0.008399391,0.011911863,0.29588845,0.11668987,0.5584794,11.94375,18.375,9.58125,4,1.7802601,5.9694943,7.9776707,0.13148865,-0.07971785,0.044134982,0.30351397,0.11557375,0.55750287,12.58125,18.618752,9.4875,3,2.2935205,6.1860447,7.1730843,0.15851942,-0.25763223,0.08155045,0.34472805,0.10202513,0.55200225,11.2875,17.306252,9.7875,,,,,,,,,,,,,,743
2,1.9597218,5.903692,7.409375,0.09651663,-0.23044874,0.075289086,0.30988508,0.1164229,0.5640111,10.575001,16.612501,8.71875,1,2.4801607,6.078966,7.326225,-0.041080657,0.110871956,0.016493348,0.32540032,0.10683341,0.5610329,10.368751,16.5,8.64375,9,2.216352,5.899504,7.3022966,-7.6358096E-4,-0.015424335,-0.0035124724,0.32418337,0.10687033,0.5679936,9.31875,15.937501,8.56875,,,,,,,,,,,,,,219
8,1.7222341,5.631508,7.626524,-0.037262753,-0.03619374,0.013286309,0.30254108,0.10810742,0.5734839,9.806251,16.95,8.512501,0,1.8215362,5.63091,7.7012997,-0.0065667965,0.030695954,0.007177661,0.30229792,0.10934318,0.57590616,9.431251,16.837502,8.493751,5,1.8173488,5.6207404,7.4620175,0.05131264,-0.01802051,0.019853106,0.3058092,0.11036934,0.5756037,9.637501,16.987501,8.2875,,,,,,,,,,,,,,805
4,1.7880367,5.7840505,7.584051,0.108886644,-0.10720677,-1.527162E-4,0.31295666,0.10871488,0.5566175,11.231251,17.90625,8.45625,3,2.7505496,6.2691956,6.8404818,0.24388777,-0.38423395,0.124310985,0.34279597,0.09471075,0.54870105,10.81875,17.5125,8.587501,6,2.8289146,6.303293,6.812366,0.028557928,-0.10063997,0.04703659,0.34597212,0.09077905,0.54858613,9.900001,16.78125,8.90625,,,,,,,,,,,,,,436
2,2.3922246,6.1232333,7.140781,0.33750278,-0.34193155,0.16859868,0.31544104,0.110243976,0.55580336,11.6625,17.925001,8.587501,1,2.5968108,6.2201424,7.033104,-0.023060145,0.08933897,0.013133593,0.33024657,0.099312134,0.5533103,10.59375,17.15625,8.681251,4,2.5722845,6.1884375,7.0414786,-0.07422007,0.06780599,-0.023365578,0.3177864,0.105532125,0.55960834,9.75,16.650002,8.775001,8,2.4580271,6.10768,7.196414,0.0035124724,0.035430156,0.020005822,0.32556188,0.10388572,0.55982864,7.89375,15.543751,8.8125,2148
7,1.4835501,5.8504515,7.489535,0.043371398,6.108648E-4,0.0013744457,0.3069256,0.12921965,0.57521135,12.056251,17.2875,7.6687503,2,1.9806589,5.966503,7.34776,0.052687086,-0.07925971,0.10415245,0.31714326,0.1222466,0.57719886,11.64375,16.987501,7.6687503,5,2.2737796,6.0604215,7.3256264,-0.0368046,0.08567379,0.004123337,0.3251469,0.117455624,0.58035415,10.9875,16.6875,7.5375004,5,2.030908,5.918647,7.286743,-0.014202606,0.04138609,0.007941242,0.3236433,0.1178037,0.5829283,10.481251,16.48125,7.4625,7255
7,1.4452649,5.456234,7.7964144,0.09086613,-0.113926284,0.027641632,0.28185213,0.11957671,0.5803284,11.137501,18.018751,7.1062503,9,2.359323,5.9288163,7.3172517,-0.009162972,0.004123337,-0.0048869182,0.3175542,0.1019161,0.567266,10.181251,17.400002,7.275,3,2.8594232,6.111269,6.9559355,-0.03054324,0.024587307,0.015882485,0.3475973,0.089635715,0.56272113,5.0437503,13.89375,8.55,2,2.8313074,6.06102,6.9894347,0.025503604,-0.01847866,0.004734202,0.36103547,0.086092114,0.5723574,2.5500002,12.468751,9.0,7932
5,1.835295,5.705087,7.5786676,0.07574723,-0.101250835,0.0108428495,0.30473295,0.10852482,0.57343775,10.106251,17.90625,7.8562503,8,1.9166509,5.814559,7.475776,-0.011453714,0.007788526,0.0044287695,0.31663436,0.107562184,0.5725081,9.20625,16.725,8.0625,2,2.3892334,6.0119667,7.3728848,0.091782436,-0.16264275,0.034208428,0.32186258,0.107170954,0.5731284,8.08125,15.731251,8.15625,0,2.1284158,5.8767724,7.3166533,-0.06139191,0.16661337,-0.008857539,0.32356936,0.10648054,0.57319134,7.6687503,15.450001,8.306251,5820
7,1.899303,5.8677993,7.645068,-0.01970039,0.083688475,-0.0036651888,0.31298912,0.11363966,0.5714213,10.725,17.268751,7.6312504,5,1.8903298,5.931209,7.5116687,0.10262528,-0.101708986,0.021227552,0.31984505,0.11595289,0.5702111,10.668751,16.893751,7.74375,1,1.9046868,6.013163,7.1694946,0.04886918,-0.014355322,0.021991132,0.3205878,0.11647427,0.5694336,10.462501,16.5375,7.8187504,3,2.5926232,6.1513486,6.878767,0.07987057,-0.2046397,0.074067354,0.34646103,0.10284654,0.5673924,9.225,15.6,8.00625,7513
4,1.6498512,5.599205,7.7425756,0.052687086,-0.017409647,0.03375028,0.281473,0.11718715,0.5768405,11.75625,19.03125,7.7250004,0,1.5834504,5.5543394,7.7120676,0.015882485,0.015577052,0.020769402,0.28972024,0.117257565,0.58153725,11.34375,18.6375,7.6125,9,1.6295122,5.605187,7.6683984,0.062155493,-0.17272201,0.06994402,0.29329562,0.11644996,0.5815123,11.025001,18.31875,7.5375004,1,1.9758734,5.7230334,7.413563,0.046273008,0.032681264,0.018325943,0.30767038,0.11215304,0.5826204,10.06875,17.587502,7.2187505,4091
0,1.4530416,5.6033926,7.829914,0.053908817,-0.07238748,0.031001387,0.2860572,0.12202064,0.57666945,12.056251,18.675001,7.275,3,1.7318054,5.721837,7.589435,0.24006985,-0.5259546,0.10690133,0.3329666,0.09620186,0.5615024,11.26875,17.587502,7.7625003,6,1.7455641,5.59741,7.664809,0.124616414,-0.23564109,0.098654665,0.2939521,0.12014397,0.57159764,8.118751,16.25625,8.493751,7,1.6516458,5.6506505,7.7832537,0.0033597562,0.026725333,6.108648E-4,0.28434634,0.12839547,0.5791759,8.64375,16.6875,8.043751,0367
1,1.5224334,5.757131,7.6181493,0.19685118,-0.3084867,0.045203995,0.27851686,0.13115963,0.56954026,15.13125,20.04375,7.6875005,2,2.2175484,6.090332,7.348358,0.06627883,-0.1188132,0.041844238,0.30434057,0.11818935,0.5591268,13.875001,18.88125,8.175,8,1.6295122,5.7577295,7.494919,0.04214967,-0.05054906,0.017867794,0.2973913,0.12496613,0.5769181,10.275001,16.087502,8.118751,5,1.6061822,5.7409797,7.7276206,0.0097738365,-0.018936807,0.025961753,0.3028668,0.12344278,0.5760614,10.012501,16.03125,8.137501,1285
